gate_V,repeat,variant,external_wall_seconds,child_cpu_seconds
4,0,native,467.02424279018305,275.270939
4,0,baseline,406.75585655192845,406.6376690000001
4,0,high,358.3920987499878,358.30268900000004
8,0,high,334.519827604061,334.42881700000004
8,0,baseline,381.24954623309895,381.0953710000001
8,0,native,444.7559567959979,254.163061
4,1,high,365.6544564978685,365.4194480000001
4,1,baseline,398.58226631302387,398.4168359999999
4,1,native,436.62184888101183,245.60510099999988
8,1,native,434.89084309898317,244.1812060000001
8,1,baseline,354.99680678988807,354.18310599999995
8,1,high,331.0190299290698,330.8653699999999
