model,VBE_V,VCE_V,sentaurus_Ic_A_per_um,vela_Ic_A_per_um,Ic_magnitude_ratio_vela_over_sentaurus,Ic_absolute_log10_error,sentaurus_Ib_A_per_um,vela_Ib_A_per_um,Ib_magnitude_ratio_vela_over_sentaurus,Ib_absolute_log10_error,sentaurus_Ie_A_per_um,vela_Ie_A_per_um,Ie_magnitude_ratio_vela_over_sentaurus,Ie_absolute_log10_error,sentaurus_beta_abs,vela_beta_abs,beta_magnitude_ratio_vela_over_sentaurus,beta_absolute_log10_error,sentaurus_kcl_abs_A_per_um,sentaurus_kcl_relative,vela_kcl_abs_A_per_um,vela_kcl_relative,vela_converged
M1,0.7,0.0,-2.99250372742404e-07,-2.9838036905504244e-07,0.9970927231288348,0.0012644532522803923,3.60103702966026e-07,3.589447625384612e-07,0.9967816481251953,0.0013999664627238565,-6.08533302236216e-08,-6.05643934834327e-08,0.9952519157270913,0.002066977784151974,0.8310116510260845,0.8312709926309922,1.000312079384913,0.00013551321044344718,4.235164736271502e-22,1.1760958583286405e-15,1.393633896029341e-20,3.882585961621357e-14,1
M1,0.7,0.1,2.47755398240354e-06,2.458617675069799e-06,0.9923568537887636,0.003332126472382815,6.70896213004264e-08,6.678041731602634e-08,0.9953911800602443,0.0020062117617133317,-2.54464360370397e-06,-2.525398092392417e-06,0.9924368539140258,0.0032971166748034225,36.929020232639076,36.81644670524942,0.9969516243138733,0.0013259147106694455,3.586655136029928e-21,1.4094921311610048e-15,6.5919412677779864e-18,2.610258274778833e-12,1
M1,0.7,0.2,2.56928940187597e-06,2.549416042197323e-06,0.9922650365256105,0.0033723111856059323,6.06516797978365e-08,6.036119708891141e-08,0.9952106403335683,0.002084989351959053,-2.62994108167381e-06,-2.6097772392914345e-06,0.9923329680186058,0.0033425799528834445,42.36138900752455,42.23600864711248,0.9970402207446549,0.0012873218336469463,3.586655136029928e-21,1.363777751913447e-15,5.199922028304349e-18,1.992477346348591e-12,1
M1,0.7,0.3,2.58600943392565e-06,2.5658558180941633e-06,0.9922066735074153,0.0033978562580083693,6.04897159020211e-08,6.019977600229348e-08,0.995206790188976,0.002086669498570869,-2.64649914982768e-06,-2.626055594083685e-06,0.9922752456786822,0.0033678428672918675,42.75122465634271,42.62234826249868,0.9969854338704914,0.0013111867594374947,9.01295995437779e-21,3.405616039954007e-15,1.2771801006716756e-17,4.863492241173686e-12,1
M1,0.7,0.4,2.59887746452499e-06,2.5784926496146714e-06,0.9921563000993414,0.0034199055438062106,6.04664400650994e-08,6.017663716704743e-08,0.995207210847208,0.0020864859291739087,-2.65934390459009e-06,-2.6386692866143843e-06,0.9922256696698684,0.0033895416096815455,42.98049400174685,42.84873284721611,0.9969343964607438,0.0013334196146322804,5.029258124322408e-22,1.8911650033836507e-16,1.6733444245941063e-16,6.341622396875419e-11,1
M1,0.7,0.5,2.61040357754061e-06,2.5898521523771897e-06,0.9921271081068688,0.003432683881008562,6.04487126674983e-08,6.015895590651189e-08,0.9952065685405043,0.002086766222909815,-2.67085229020811e-06,-2.6500111083458835e-06,0.9921968047657915,0.0034021758836061877,43.183774514757474,43.05015127592751,0.9969057072863259,0.0013459176580987511,1.760240343512843e-21,6.590556692207366e-16,6.218182685846106e-17,2.3464741963770287e-11,1
M1,0.7,0.6,2.62107590651898e-06,2.6004162271808795e-06,0.9921178630169707,0.003436730852613273,6.04327326133195e-08,6.014294728668618e-08,0.9952048283421582,0.0020875256222383236,-2.6815086391323e-06,-2.6605591748226497e-06,0.9921874335946838,0.0034062777584572706,43.37179196065824,43.237259637199934,0.9968981608235062,0.0013492052303749357,5.69100261436483e-22,2.122313734631995e-16,3.550841127182138e-16,1.3346221203363514e-10,1
M1,0.7,0.7,2.63115128637653e-06,2.6104099586790976e-06,0.9921170144017085,0.0034371023297300345,6.04179314741981e-08,6.012809117117532e-08,0.9952027436896518,0.0020884353385124525,-2.69156921785073e-06,-2.6705380502574343e-06,0.9921862802361481,0.003406782600105,43.549178566303304,43.41414982304472,0.9968993963214942,0.0013486669912175727,2.091112588534054e-21,7.769120610629689e-16,4.071614188510823e-16,1.5246418930890454e-10,1
M1,0.7,0.8,2.64076958059732e-06,2.6199534030864045e-06,0.9921173821207805,0.0034369413624933745,6.04040340817394e-08,6.011414008314932e-08,0.9952007510260358,0.0020893049137669342,-2.7011736146791e-06,-2.6800675431647916e-06,0.9921863328593131,0.0034067595661747296,43.718430742950076,43.58298063421534,0.9969017618786196,0.0013476364487264466,4.0684051247808113e-20,1.5061620262658085e-14,4.76223098770049e-18,1.7769070782734638e-12,1
M1,0.7,0.9,2.65001045954097e-06,2.6291213393670045e-06,0.9921173442547152,0.0034369579381766696,6.03908783466142e-08,6.010093695129993e-08,0.9951989207103407,0.0020901036438087627,-2.71040133788763e-06,-2.689222276228684e-06,0.9921860053111352,0.0034069029388306463,43.88097229404748,43.74509737672465,0.9969035572773473,0.001346854294367884,4.5925067608944097e-20,1.694401008698443e-14,8.962044009824946e-17,3.332578377415924e-11,1
