node_id,x_um,y_um,sentaurus_holes_cm3,vela_holes_cm3,delta_log10_holes_decade,delta_psi_V,delta_phip_V,delta_phip_minus_psi_V,predicted_delta_log10_holes_decade,density_relation_residual_decade,minus_100mV_plateau
0,0.09375,0.0625,1.7457923597948113,0.036478071523643664,-1.6799607180004268,-9.851624237278145e-06,-0.10001153492360704,-0.10000168329936976,-1.6799543399633416,-6.378037085141841e-06,1
1,0.09375,-0.0,1.663294771324227,0.03477002879107471,-1.6797641719914989,-3.244293516502239e-06,-0.09999322812957745,-0.09998998383606095,-1.6797577976301286,-6.374361370298232e-06,1
2,-0.0,0.0625,1.9707459336259372,0.04123210323672606,-1.6793951505340565,1.9529833945153285e-05,-0.09994848670577117,-0.09996801653971632,-1.6793887632937672,-6.387240289340568e-06,1
3,0.09375,0.125,2.0037378626882623,0.04184789614898168,-1.6801672754406938,-1.3052840888594375e-05,-0.10002703114425371,-0.10001397830336511,-1.6801608869397562,-6.388500937593022e-06,1
4,-0.0,0.125,2.2585970571072775,0.04720183497036516,-1.6798798757792641,7.210568742088697e-07,-0.0999961488296841,-0.09999686988655831,-1.679873478187061,-6.397592203111202e-06,1
5,0.1875,0.0625,1.2282301083458755,0.025632153884893028,-1.6804946375622312,-6.898931514909279e-05,-0.10010245652895255,-0.10003346721380346,-1.6804882862253667,-6.351336864440782e-06,1
6,0.1875,-0.0,1.171040774801271,0.024441828548798106,-1.6804383238144034,-7.021696142128775e-05,-0.1001003322344114,-0.1000301152729901,-1.6804319760980677,-6.347716335675102e-06,1
7,0.1875,0.125,1.4086756847505715,0.02939418933661744,-1.6805495310118619,-6.398415177377714e-05,-0.10010071835705281,-0.10003673420527903,-1.6805431692666009,-6.361745261029839e-06,1
8,0.09375,0.1875,2.4688153967139925,0.05155479717273971,-1.6802195346039526,-1.3058081289596402e-05,-0.10003014624262141,-0.10001708816133181,-1.6802131302542231,-6.404349729427494e-06,1
9,-0.0,0.1875,2.7746884573014516,0.05796450905193131,-1.680052065678583,-4.138267656994543e-06,-0.1000112570739069,-0.1000071188062499,-1.680045652460011,-6.413218571976742e-06,1
10,0.09375,0.25,3.194744047033946,0.06672786066729981,-1.680128868214845,-1.1453183998089145e-05,-0.10002314313382499,-0.1000116899498269,-1.6801224442922822,-6.42392256278157e-06,1
11,-0.0,0.25,3.573986784257974,0.07466880038857278,-1.680013768145181,-4.8636657994372e-06,-0.10000970161243927,-0.10000483794663984,-1.6800073357049887,-6.432440192272182e-06,1
