model,VBE_V,VCE_V,Ic_A_per_um,Ib_A_per_um,Ie_A_per_um,beta_abs,alpha_abs,kcl_abs_A_per_um,kcl_relative
M1,0.7,0.0,-2.99250372742404e-07,3.60103702966026e-07,-6.08533302236216e-08,0.8310116510260845,4.917567726248172,4.235164736271502e-22,1.1760958583286405e-15
M1,0.7,0.1,2.47755398240354e-06,6.70896213004264e-08,-2.54464360370397e-06,36.929020232639076,0.9736349635749483,3.586655136029928e-21,1.4094921311610048e-15
M1,0.7,0.2,2.56928940187597e-06,6.06516797978365e-08,-2.62994108167381e-06,42.36138900752455,0.9769380081476051,3.586655136029928e-21,1.363777751913447e-15
M1,0.7,0.3,2.58600943392565e-06,6.04897159020211e-08,-2.64649914982768e-06,42.75122465634271,0.9771434969454009,9.01295995437779e-21,3.405616039954007e-15
M1,0.7,0.4,2.59887746452499e-06,6.04664400650994e-08,-2.65934390459009e-06,42.98049400174685,0.9772626473918121,5.029258124322408e-22,1.8911650033836507e-16
M1,0.7,0.5,2.61040357754061e-06,6.04487126674983e-08,-2.67085229020811e-06,43.183774514757474,0.9773672573024283,1.760240343512843e-21,6.590556692207366e-16
M1,0.7,0.6,2.62107590651898e-06,6.04327326133195e-08,-2.6815086391323e-06,43.37179196065824,0.9774631594575525,5.69100261436483e-22,2.122313734631995e-16
M1,0.7,0.7,2.63115128637653e-06,6.04179314741981e-08,-2.69156921785073e-06,43.549178566303304,0.9775528969964796,2.091112588534054e-21,7.769120610629689e-16
M1,0.7,0.8,2.64076958059732e-06,6.04040340817394e-08,-2.7011736146791e-06,43.718430742950076,0.9776378557255543,4.0684051247808113e-20,1.5061620262658085e-14
M1,0.7,0.9,2.65001045954097e-06,6.03908783466142e-08,-2.71040133788763e-06,43.88097229404748,0.9777188427770899,4.5925067608944097e-20,1.694401008698443e-14
M1,0.7,1.0,2.65892621947877e-06,6.03783538767264e-08,-2.71930457335552e-06,44.037739500276224,0.9777963989512785,2.345222472710344e-20,8.624346443901381e-15
M1,0.7,1.1,2.6675562666964e-06,6.03663768018693e-08,-2.7279226434983e-06,44.18943802858476,0.977870935253323,3.0652004778764994e-20,1.1236390757568083e-14
M1,0.7,1.2,2.6759328774395e-06,6.03548795837753e-08,-2.7362877570233e-06,44.336645121214836,0.9779427878413426,2.4577190360175558e-20,8.98194654311947e-15
M1,0.7,1.3,2.68408476447343e-06,6.03438045443224e-08,-2.74442856901779e-06,44.47987303322871,0.9780122517213278,3.746797302620194e-20,1.3652376836906141e-14
M1,0.7,1.4,2.6920382661959e-06,6.03331013397187e-08,-2.75237136753565e-06,44.619590347888646,0.9780795927281536,3.1499037726019294e-20,1.1444326916618857e-14
M1,0.7,1.5,2.69981791677235e-06,6.03227255392248e-08,-2.7601406423116e-06,44.75623229286607,0.9781450536923617,2.542422330742986e-20,9.211205732667751e-15
M1,0.7,1.6,2.70744724675695e-06,6.03126368277914e-08,-2.76775988358477e-06,44.89021520460847,0.9782088622696187,2.848148285142585e-20,1.0290445721229607e-14
M1,0.7,1.7,2.71494867690767e-06,6.03027985537507e-08,-2.77525147546145e-06,45.02193500170161,0.978271230882328,2.955350892529457e-20,1.064894809951614e-14
M1,0.7,1.8,2.72234275095979e-06,6.02931783632538e-08,-2.78263592932307e-06,45.15175389425058,0.9783323510891533,2.6033028238268887e-20,9.355527959635713e-15
M1,0.7,1.9,2.7296479138092e-06,6.02837481827726e-08,-2.78993166199201e-06,45.279996617550346,0.9783923925434906,3.7441503246600245e-20,1.3420222350488337e-14
M1,0.7,2.0,2.73688095358688e-06,6.02744832820165e-08,-2.79715543686892e-06,45.40695837708585,0.9784515073822605,2.3399285167900047e-20,8.365386084547643e-15
M1,0.7,2.1,2.74405729073076e-06,6.02653615284703e-08,-2.80432265225926e-06,45.53291013502714,0.9785098332105444,2.965938804370136e-20,1.0576310832067318e-14
M1,0.7,2.2,2.75119062342157e-06,6.02563635357971e-08,-2.81144698695739e-06,45.65809255626823,0.9785674907564126,2.310811759228138e-20,8.219296931253715e-15
M1,0.7,2.3,2.75829221472409e-06,6.02474733615582e-08,-2.81853968808568e-06,45.78270358610689,0.9786245786723304,3.171079596283287e-20,1.1250789228506652e-14
M1,0.7,2.4,2.76537040034415e-06,6.02386789921798e-08,-2.82560907933636e-06,45.906889835734134,0.978681170218225,3.0135844076531904e-20,1.066525596088819e-14
M1,0.7,2.5,2.77243064118062e-06,6.02299721608969e-08,-2.83266061334155e-06,46.03074751179389,0.978737314354832,3.3179868730727046e-20,1.1713323006100046e-14
M1,0.7,2.6,2.77947607516649e-06,6.02213475506986e-08,-2.83969742271721e-06,46.15433211331796,0.9787930407412575,2.1374347028370235e-20,7.526980465375726e-15
M1,0.7,2.7,2.78650831173554e-06,6.02128017066173e-08,-2.84672111344219e-06,46.27767240117157,0.9788483664865075,3.3100459391921955e-20,1.1627573644506974e-14
M1,0.7,2.8,2.79352816863911e-06,6.02043320489333e-08,-2.85373250068809e-06,46.40078335838967,0.9789033022420766,4.6282409633567004e-20,1.621820181898879e-14
M1,0.7,2.9,2.80053612608798e-06,6.01959362661187e-08,-2.86073206235414e-06,46.523674184701775,0.9789578559074759,4.1014923492829324e-20,1.433721250324909e-14
M1,0.7,3.0,2.80753243397542e-06,6.01876121735591e-08,-2.86772004614901e-06,46.64635018049099,0.9790120335301158,3.1234339930002325e-20,1.0891697734563087e-14
