pair,id,branch,bias_V,contact,component,tool,relative_error,absolute_error_A_per_um,pass
M0/M1,P0,forward,0.0,Anode,total,reference,0.000309040004899782,3.09040004899782e-26,True
M0/M1,P0,forward,0.0,Anode,total,candidate,2.53638490961329e-13,2.5363849096132903e-35,True
M0/M1,P0,forward,0.0,Anode,electron,reference,5.0189631887003696e-05,5.0189631887003695e-27,True
M0/M1,P0,forward,0.0,Anode,electron,candidate,1.3935958082292568e-18,1.393595808229257e-40,True
M0/M1,P0,forward,0.0,Anode,hole,reference,0.000258850373012779,2.58850373012779e-26,True
M0/M1,P0,forward,0.0,Anode,hole,candidate,2.536398845571372e-13,2.5363988455713723e-35,True
M0/M1,P0,forward,0.0,Cathode,total,reference,0.00030904000489978,3.0904000489978e-26,True
M0/M1,P0,forward,0.0,Cathode,total,candidate,7.347796654639112e-13,7.347796654639112e-35,True
M0/M1,P0,forward,0.0,Cathode,electron,reference,5.0189615864175795e-05,5.01896158641758e-27,True
M0/M1,P0,forward,0.0,Cathode,electron,candidate,7.347791394180742e-13,7.347791394180742e-35,True
M0/M1,P0,forward,0.0,Cathode,hole,reference,0.000258850389035604,2.58850389035604e-26,True
M0/M1,P0,forward,0.0,Cathode,hole,candidate,5.260458371180234e-19,5.260458371180234e-41,True
M0/M1,P0,forward,0.02,Anode,total,reference,0.03710020408669272,4.849552892055007e-20,False
M0/M1,P0,forward,0.02,Anode,total,candidate,0.03711466761108956,4.849392535779531e-20,False
M0/M1,P0,forward,0.02,Anode,electron,reference,0.0002589155146410942,1.3402681479894668e-22,True
M0/M1,P0,forward,0.02,Anode,electron,candidate,0.0002761053285401706,1.4284960135721117e-22,True
M0/M1,P0,forward,0.02,Anode,hole,reference,0.061255626630439694,4.836150210575902e-20,False
M0/M1,P0,forward,0.02,Anode,hole,candidate,0.06126409140376749,4.83510757564381e-20,False
M0/M1,P0,forward,0.02,Cathode,total,reference,0.03710020408671627,4.849552892058011e-20,False
M0/M1,P0,forward,0.02,Cathode,total,candidate,0.03711454550088087,4.849375035095657e-20,False
M0/M1,P0,forward,0.02,Cathode,electron,reference,0.04484998789397032,4.8436666931989914e-20,False
M0/M1,P0,forward,0.02,Cathode,electron,candidate,0.0448627833480959,4.84310633989804e-20,False
M0/M1,P0,forward,0.02,Cathode,hole,reference,0.00025909919817642047,5.886198857897985e-23,True
M0/M1,P0,forward,0.02,Cathode,hole,candidate,0.00027608189571732867,6.268695197607542e-23,True
M0/M1,P0,forward,0.04,Anode,total,reference,0.03390438117922191,1.2599721666774955e-19,False
M0/M1,P0,forward,0.04,Anode,total,candidate,0.03391933883826595,1.25997296737985e-19,False
M0/M1,P0,forward,0.04,Anode,electron,reference,0.0002600780012792669,4.260222157899107e-22,True
M0/M1,P0,forward,0.04,Anode,electron,candidate,0.00027563549287624024,4.51266677101583e-22,True
M0/M1,P0,forward,0.04,Anode,hole,reference,0.060423165827382,1.2557119445196002e-19,False
M0/M1,P0,forward,0.04,Anode,hole,candidate,0.06043336852115489,1.2554603006088342e-19,False
M0/M1,P0,forward,0.04,Cathode,total,reference,0.033904381179208104,1.2599721666770024e-19,False
M0/M1,P0,forward,0.04,Cathode,total,candidate,0.033919325221938364,1.2599724168167528e-19,False
M0/M1,P0,forward,0.04,Cathode,electron,reference,0.0419736919496715,1.2581024434478997e-19,False
M0/M1,P0,forward,0.04,Cathode,electron,candidate,0.04198757316007947,1.2579915620834465e-19,False
