id,mesh,branch,bias_V,contact,component,reference_delta_dex,candidate_delta_dex,error_dex,pass
P1,M0,forward,0.02,Anode,total,0.15896203238030437,0.15894842049967076,1.361188063361829e-05,True
P1,M0,forward,0.02,Anode,electron,0.2898045699739361,0.2898045718201677,1.8462316120348987e-09,True
P1,M0,forward,0.02,Anode,hole,0.05257410855492368,0.05256588002215883,8.228532764845142e-06,True
P1,M0,forward,0.02,Cathode,total,0.15896203238029896,0.15894833084853746,1.3701531761500796e-05,True
P1,M0,forward,0.02,Cathode,electron,0.1569860008195,0.1569696879462601,1.631287323991537e-05,True
P1,M0,forward,0.02,Cathode,hole,0.168643495642597,0.1686435976654368,1.020228397874412e-07,True
P1,M0,forward,0.04,Anode,total,0.1741988861709684,0.17418606212783247,1.2824043135933882e-05,True
P1,M0,forward,0.04,Anode,electron,0.2898045755757215,0.289804575474072,1.016494666217227e-10,True
P1,M0,forward,0.04,Anode,hole,0.06251655157560854,0.06250744885712962,9.102718478912197e-06,True
P1,M0,forward,0.04,Cathode,total,0.17419888617096801,0.17418605355141498,1.283261955303816e-05,True
P1,M0,forward,0.04,Cathode,electron,0.175467911398217,0.17545205146932544,1.5859928891553965e-05,True
P1,M0,forward,0.04,Cathode,hole,0.16864370292957445,0.16864361437489533,8.85546791173919e-08,True
P1,M0,forward,0.06,Anode,total,0.18932510654695603,0.18931371607846784,1.1390468488192695e-05,True
P1,M0,forward,0.06,Anode,electron,0.2898045796910807,0.28980457933105114,3.600295617189886e-10,True
P1,M0,forward,0.06,Anode,hole,0.07419102568848013,0.07418134367592959,9.682012550540908e-06,True
P1,M0,forward,0.06,Cathode,total,0.18932510654695758,0.1893136188669837,1.1487679973887222e-05,True
P1,M0,forward,0.06,Cathode,electron,0.19457255553806463,0.19455776011086168,1.4795427202951572e-05,True
P1,M0,forward,0.06,Cathode,hole,0.1686436677128231,0.16864363141781588,3.629500722190926e-08,True
P1,M0,forward,0.08,Anode,total,0.20343243322159954,0.20342329043950652,9.142782093018997e-06,True
P1,M0,forward,0.08,Anode,electron,0.2898045808726136,0.2898045834927127,2.620099082140115e-09,True
P1,M0,forward,0.08,Anode,hole,0.08717002568142472,0.08716015497427068,9.870707154038816e-06,True
P1,M0,forward,0.08,Cathode,total,0.20343243322160248,0.2034225708250176,9.862396584875421e-06,True
P1,M0,forward,0.08,Cathode,electron,0.21311827546954204,0.21310510259349094,1.3172876051098514e-05,True
P1,M0,forward,0.08,Cathode,hole,0.1686436357430083,0.16864364887661626,1.3133607951187898e-08,True
P1,M0,forward,0.1,Anode,total,0.2158053231434963,0.2157992662541431,6.056889353178718e-06,True
P1,M0,forward,0.1,Anode,electron,0.2898045875269914,0.2898045880348522,5.078608089625902e-10,True
P1,M0,forward,0.1,Anode,hole,0.10070752024894203,0.10069792262827751,9.597620664519857e-06,True
P1,M0,forward,0.1,Cathode,total,0.215805323143497,0.21579719643072212,8.126712774891853e-06,True
P1,M0,forward,0.1,Cathode,electron,0.23000244437430495,0.2299912566647604,1.1187709544557833e-05,True
P1,M0,forward,0.1,Cathode,hole,0.16864367590158957,0.16864366668304678,9.218542790234707e-09,True
P1,M0,forward,0.12,Anode,total,0.22607000247502862,0.22606794904226615,2.0534327624666115e-06,True
P1,M0,forward,0.12,Anode,electron,0.28980459199054615,0.2898045930865129,1.0959667617882474e-09,True
P1,M0,forward,0.12,Anode,hole,0.1139000671095727,0.11389126398410998,8.803125462725214e-06,True
P1,M0,forward,0.12,Cathode,total,0.2260700024750297,0.2260636149562269,6.387518802802861e-06,True
P1,M0,forward,0.12,Cathode,electron,0.2444765562369003,0.24446746859590054,9.08764099974424e-06,True
P1,M0,forward,0.12,Cathode,hole,0.1686436806848712,0.16864368506878344,4.383912233230092e-09,True
P1,M0,forward,0.14,Anode,total,0.23419498831628083,0.23419705077554823,2.0624592673990083e-06,True
P1,M0,forward,0.14,Anode,electron,0.2898045969358974,0.2898045987616964,1.8257990119785461e-09,True
P1,M0,forward,0.14,Anode,hole,0.1259254397172148,0.12591779050540125,7.649211813537393e-06,True
