id,mesh,branch,bias_V,contact,component,reference_A_per_um,candidate_A_per_um,absolute_error_A_per_um,relative_error,log_error_dex,pass
P0,original,forward,0.0,Anode,total,7.27928078923311e-27,8.123997777036969e-37,7.279280788420711e-27,7.27928078842071e-05,,True
P0,original,forward,0.0,Anode,electron,-2.40391351489039e-27,-7.125435534946403e-41,2.4039135148903185e-27,2.4039135148903185e-05,,True
P0,original,forward,0.0,Anode,hole,9.6831943041235e-27,8.124710320590464e-37,9.683194303311028e-27,9.683194303311028e-05,,True
P0,original,forward,0.0,Cathode,total,-7.27928078923304e-27,-7.223960772513896e-37,7.279280788510644e-27,7.279280788510643e-05,,True
P0,original,forward,0.0,Cathode,electron,2.40390541157508e-27,-7.224235457361089e-37,2.4039054122975034e-27,2.4039054122975034e-05,,True
P0,original,forward,0.0,Cathode,hole,-9.68318620080812e-27,2.7468484719353516e-41,9.683186200808147e-27,9.683186200808146e-05,,True
P0,original,forward,0.02,Anode,total,1.35564537688626e-18,1.35509222998217e-18,5.531469040900438e-22,0.00040803215466315377,0.00017724227594275585,True
P0,original,forward,0.02,Anode,electron,5.17780923080741e-19,5.175174075172609e-19,2.6351556348005028e-22,0.0005089325460508683,0.00022108285931526033,True
P0,original,forward,0.02,Anode,hole,8.37864453805514e-19,8.37574822464909e-19,2.896313406049861e-22,0.00034567803812359324,0.00015015201809516715,True
P0,original,forward,0.02,Cathode,total,-1.35564537688626e-18,-1.3550906575241527e-18,5.547193621072659e-22,0.0004091920878167885,0.0001777462344343059,True
P0,original,forward,0.02,Cathode,electron,-1.12840722772938e-18,-1.127968706822921e-18,4.385209064590172e-22,0.00038861937045673136,0.00016880805131433212,True
P0,original,forward,0.02,Cathode,hole,-2.27238149156881e-19,-2.271219507012318e-19,1.1619845564921162e-22,0.0005113510036952042,0.00022213371821195053,True
P0,original,forward,0.04,Anode,total,3.84224902416782e-18,3.8406129141145786e-18,1.6361100532416753e-21,0.0004258209301246514,0.00018497106530315045,True
P0,original,forward,0.04,Anode,electron,1.63848158083081e-18,1.6376379216612324e-18,8.436591695776243e-22,0.0005149030538078051,0.00022367714594978674,True
P0,original,forward,0.04,Anode,hole,2.20376744333701e-18,2.202974992453346e-18,7.92450883664051e-22,0.0003595891599451612,0.00015619567273515036,True
P0,original,forward,0.04,Cathode,total,-3.84224902416783e-18,-3.8406124614347114e-18,1.636562733118816e-21,0.0004259387465062261,0.00018502225410781077,True
P0,original,forward,0.04,Cathode,electron,-3.12316974707354e-18,-3.1219036409260065e-18,1.2661061475335337e-21,0.0004053913972238926,0.00017609494292498333,True
P0,original,forward,0.04,Cathode,hole,-7.19079277094291e-19,-7.187088205087047e-19,3.704565855863416e-22,0.0005151818407051168,0.00022379828395209566,True
P0,original,forward,0.06,Anode,total,8.60839332660626e-18,8.604591910112841e-18,3.801416493418624e-21,0.00044159419176043616,0.00019182427808354545,True
P0,original,forward,0.06,Anode,electron,4.064715391568e-18,4.062623662401006e-18,2.091729166993881e-21,0.000514606550641416,0.00022354830994177088,True
